SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD664C145B80E04PH,THE ONE TAGAYTAY,"Sungay North-West, Tagaytay",2600000,24,1,1,0,3,1,1,1,2,3,https://www.lamudi.com.ph/projects/one-tagaytay-place-hotel-suites/condotel-unit-for-sale-in-one-tagatay-171636560895/,Tagaytay,CAVITE
CD669E00EF15189PH,WIND RESIDENCES,"Maharlika West, Tagaytay",6000000,34,1,1,2,0,1,1,0,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/for-sale-1-bedroom-condominum-fully-furnished-at-s-172163095955/,Tagaytay,CAVITE
CD665B12458372BPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",7200000,39.7,1,1,0,0,1,1,0,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/tagaytay-condo-ayala-serin-east-rush-sale-pasalo-171724448547/,Tagaytay,CAVITE
CD6635E902EF8DEPH,ALPINE VILLAS,"Iruhin East, Tagaytay",24370000,68.44,1,1,2,0,1,1,1,1,1,https://www.lamudi.com.ph/projects/alpine-villas/rfo-1br-68-44-sqm-condo-unit-at-alpine-villas-biel-171480909040/,Tagaytay,CAVITE
CD65E5815315D46PH,CROSSWINDS,"Iruhin South, Tagaytay",9200000,83,1,1,0,2,0,1,1,0,0,https://www.lamudi.com.ph/projects/crosswinds/for-sale-fully-furnished-1-bedroom-unit-at-crosswi-172233170063/,Tagaytay,CAVITE
CD65C06D9D04C10PH,LA BELLA TAGAYTAY,"Neogan, Tagaytay",1876500,14,1,0,0,0,1,1,0,0,0,https://www.lamudi.com.ph/projects/la-bella-tagaytay/tagaytay-condominium-unit-for-sale-171090984927/,Tagaytay,CAVITE
CD668B92A003829PH,LAKEVIEW SUITES,"5705 Calamba Road, Barangay Iruhin West, Tagaytay City, 4120 Philippines Iruhin South, Tagaytay",21000000,144,3,0,1,2,1,1,1,2,2,https://www.lamudi.com.ph/buy/cavite/tagaytay/the-lakeview-resort-3bedrooms-172082245859/,Tagaytay,CAVITE
CD663B5CA88A44FPH,LAMORE AT MICARA ESTATES,"Sahud Ulan, Tanza",2400000,28,2,1,2,1,1,1,1,0,2,https://www.lamudi.com.ph/buy/cavite/tanza/invest-now-in-lamore-condominium-just-8k-monthly-171516637619/,Tanza,CAVITE
CD668B93B0297E6PH,LAKEVIEW SUITES,"5705 Calamba Road, Barangay Iruhin West, Tagaytay City, 4120 Philippines Iruhin South, Tagaytay",21000000,144,4,0,1,1,1,1,1,1,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/the-lakeview-resort-4-bedrooms-d-302-172096558262/,Tagaytay,CAVITE
CD64B2430093612PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay City, Calabarzon, Philippines Calabuso, Tagaytay",30000000,212,3,3,2,3,2,1,0,2,2,https://www.lamudi.com.ph/projects/the-woodridge-at-tagaytay-highlands/tagaytay-highlands-mountain-view-3-bedroom-condo-w-172248801430/,Tagaytay,CAVITE
CD651B7C85E017BPH,WESTWIND AT LANCASTER NEW CITY,"Navarro, General Trias",3600000,23.8,1,1,2,0,1,1,1,2,1,https://www.lamudi.com.ph/buy/cavite/general-trias/low-rise-condominium-inside-lancaster-cavite-for-s-169641441073/,General Trias,CAVITE
